"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @KayeMenner: #YOUNG #QUEEN #ELIZABETH #II by #Kaye_Menner Quality Prints Cards at: https://t.co/gixz9ZpuTB",FALSE,0,NA,2022-12-05 03:46:49,FALSE,NA,"1599611224593141760",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MichelleRoseG33",1,TRUE,FALSE,NA,NA
"#YOUNG #QUEEN #ELIZABETH #II by #Kaye_Menner Quality Prints Cards at: https://t.co/gixz9ZpuTB",FALSE,0,NA,2022-12-05 02:25:58,FALSE,NA,"1599590875876974593",NA,"<a href=""https://kaye-menner.pixels.com/"" rel=""nofollow"">CurrawongAutotweeter</a>","KayeMenner",1,FALSE,FALSE,NA,NA
"RT @llChineseStamps: 🇬🇧 Queen #Elizabeth II definitive #stamps （1954——1996🇭🇰 ）in 30seconds👑
#stamps #philately #philatelist #postagestamps…",FALSE,0,NA,2022-12-04 22:50:14,FALSE,NA,"1599536584608854016",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","PaulRic91263378",1,TRUE,FALSE,NA,NA
"🇬🇧 Queen #Elizabeth II definitive #stamps （1954——1996🇭🇰 ）in 30seconds👑
#stamps #philately #philatelist… https://t.co/VGqvSRwZ3v",FALSE,3,NA,2022-12-03 11:52:26,TRUE,NA,"1599008654673342465",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","llChineseStamps",1,FALSE,FALSE,NA,NA
"The Daily Mail says that British broadcaster Gyles Brandreth says that Queen Elizabeth II felt the pain of bone mar… https://t.co/zTZtEcXXhz",FALSE,0,NA,2022-12-02 13:48:01,TRUE,NA,"1598675355413397506",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","PakistanBeat",0,FALSE,FALSE,NA,NA
"⚠️We Are The #Survival OfThe #BiafranChildren #Starved To #Death By #Gowan Led🇳🇬, #Elizabeth ii Led🇬🇧, USSR,Egypt e… https://t.co/fg3CeVlTPb",FALSE,0,NA,2022-12-01 20:57:36,TRUE,NA,"1598421075452624896",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BIAFRAISMYCOUN1",0,FALSE,FALSE,NA,NA
"The resigned official had been dubbed the late Queen Elizabeth II's ""Number One Head Girl."" #buckingham #palace… https://t.co/q5fbhbcor4",FALSE,1,NA,2022-12-01 13:36:10,TRUE,NA,"1598309984403881984",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","OutTraveler",0,FALSE,FALSE,NA,NA
"According to a Canadian auction house, Andy Warhol's 1985 Queen Elizabeth II's portrait sold for approximately $900… https://t.co/afyePV6BV6",FALSE,0,NA,2022-11-30 18:06:02,TRUE,NA,"1598015512029847552",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","PakistanBeat",0,FALSE,FALSE,NA,NA
"RT @PenguinBooksAus: This intimate, personal biography of our beloved Queen Elizabeth II tells the story of her remarkable life, reign and…",FALSE,0,NA,2022-11-30 14:37:47,FALSE,NA,"1597963105858129920",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Snoopy55536",11,TRUE,FALSE,NA,NA
"RT @PenguinBooksAus: This intimate, personal biography of our beloved Queen Elizabeth II tells the story of her remarkable life, reign and…",FALSE,0,NA,2022-11-30 13:54:12,FALSE,NA,"1597952137992220672",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RoyaleVision",11,TRUE,FALSE,NA,NA
"RT @PenguinBooksAus: This intimate, personal biography of our beloved Queen Elizabeth II tells the story of her remarkable life, reign and…",FALSE,0,NA,2022-11-30 13:10:47,FALSE,NA,"1597941208193839104",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SusanWo74730237",11,TRUE,FALSE,NA,NA
"RT @Poets_For_Peace: Click here to listen to the 30th 'Poets for Peace' Poetry show on the theme of  Her Majesty the Queen  #Elizabeth II,…",FALSE,0,NA,2022-11-29 15:07:46,FALSE,NA,"1597608260705599488",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Poets_For_Peace",3,TRUE,FALSE,NA,NA
"RT @PenguinBooksAus: This intimate, personal biography of our beloved Queen Elizabeth II tells the story of her remarkable life, reign and…",FALSE,0,NA,2022-11-29 08:31:33,FALSE,NA,"1597508550775173123",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","coffeebeanuk",11,TRUE,FALSE,NA,NA
"RT @PenguinBooksAus: This intimate, personal biography of our beloved Queen Elizabeth II tells the story of her remarkable life, reign and…",FALSE,0,NA,2022-11-29 08:06:00,FALSE,NA,"1597502122148651009",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Madampe3",11,TRUE,FALSE,NA,NA
"RT @PenguinBooksAus: This intimate, personal biography of our beloved Queen Elizabeth II tells the story of her remarkable life, reign and…",FALSE,0,NA,2022-11-29 04:48:30,FALSE,NA,"1597452419776278528",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Muhamma21714884",11,TRUE,FALSE,NA,NA
"RT @PenguinBooksAus: This intimate, personal biography of our beloved Queen Elizabeth II tells the story of her remarkable life, reign and…",FALSE,0,NA,2022-11-29 02:28:02,FALSE,NA,"1597417068223205376",NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","dg33",11,TRUE,FALSE,NA,NA
"RT @PenguinBooksAus: This intimate, personal biography of our beloved Queen Elizabeth II tells the story of her remarkable life, reign and…",FALSE,0,NA,2022-11-29 00:39:04,FALSE,NA,"1597389645138243584",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SportIntegrity",11,TRUE,FALSE,NA,NA
"RT @PenguinBooksAus: This intimate, personal biography of our beloved Queen Elizabeth II tells the story of her remarkable life, reign and…",FALSE,0,NA,2022-11-29 00:10:00,FALSE,NA,"1597382333728174080",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LunaB65353431",11,TRUE,FALSE,NA,NA
"RT @PenguinBooksAus: This intimate, personal biography of our beloved Queen Elizabeth II tells the story of her remarkable life, reign and…",FALSE,0,NA,2022-11-29 00:05:49,FALSE,NA,"1597381277346574336",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","KazHumphries",11,TRUE,FALSE,NA,NA
"RT @PenguinBooksAus: This intimate, personal biography of our beloved Queen Elizabeth II tells the story of her remarkable life, reign and…",FALSE,0,NA,2022-11-29 00:04:56,FALSE,NA,"1597381057162383362",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","GylesB1",11,TRUE,FALSE,NA,NA
"This intimate, personal biography of our beloved Queen Elizabeth II tells the story of her remarkable life, reign a… https://t.co/8vN9Flo4FI",FALSE,51,NA,2022-11-28 23:53:05,TRUE,NA,"1597378075360219139",NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","PenguinBooksAus",11,FALSE,FALSE,NA,NA
"The Daily Mail says that British broadcaster Gyles Brandreth says that Queen Elizabeth II felt the pain of bone mar… https://t.co/VhxqsWnlq3",FALSE,0,NA,2022-11-28 12:48:20,TRUE,NA,"1597210785104547840",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","PakistanBeat",0,FALSE,FALSE,NA,NA
"#ElizabethII cause of death revealed — she died of a rare #cancer

#Elizabeth II battled multiple myeloma, which is… https://t.co/AWuz5Zj6iA",FALSE,1,NA,2022-11-28 08:33:00,TRUE,NA,"1597146527117426688",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ReadovkaWorld",0,FALSE,FALSE,NA,NA
"Queen Elizabeth II secretly suffered through painful cancer battle in final years, new book claims 

#Elizabeth |… https://t.co/jAmRTbfN3N",FALSE,0,NA,2022-11-26 17:20:02,TRUE,NA,"1596554383876988928",NA,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">Jason Leo</a>","jasonleo83",0,FALSE,FALSE,NA,NA
